
============================================================
  VIC — 0 practitioners already collected
    [Male] DM: +68 new (reported 55)
    [Male] DN: +68 new (reported 317)
    [Male] DO: +43 new (reported 488)
    [Male] DQ: +4 new (reported 60)
    [Male] DR: +49 new (reported 174)
    [Male] DS: +64 new (reported 165)
    [Male] DT: +63 new (reported 251)
    [Male] DU: +45 new (reported 356)
    [Male] DV: +3 new (reported 36)
    [Male] DW: +60 new (reported 285)
    [Male] DX: +2 new (reported 1)
    [Male] DY: +65 new (reported 308)
    [Male] DZ: +61 new (reported 72)
    [Male] EA: +23 new (reported 761)
    [Male] EB: +42 new (reported 168)
    [Male] EC: +41 new (reported 192)
    [Male] ED: +27 new (reported 304)
    [Male] EF: +63 new (reported 90)
    [Male] EG: +60 new (reported 250)
    [Male] EH: +57 new (reported 603)
    [Male] EI: +51 new (reported 659)
    [Male] EJ: +23 new (reported 26)
    [Male] EK: +53 new (reported 252)
    [Male] EL: +30 new (reported 809)
    [Male] EM: +60 new (reported 185)
    [Male] EN: +60 new (reported 2061)
    [Male] EO: +59 new (reported 580)
    [Male] EP: +65 new (reported 130)
    [Male] EQ: +7 new (reported 155)
    [Male] ER: +34 new (reported 1195)
    [Male] ES: +42 new (reported 479)
    [Male] ET: +44 new (reported 342)
    [Male] EU: +71 new (reported 575)
    [Male] EV: +60 new (reported 169)
    [Male] EW: +44 new (reported 662)
    [Male] EX: +17 new (reported 18)
    [Male] EY: +28 new (reported 870)
    [Male] EZ: +55 new (reported 106)
    [Male] FA: +35 new (reported 361)
    [Male] FB: +12 new (reported 24)
    [Male] FC: +24 new (reported 25)
    [Male] FD: +68 new (reported 67)
    [Male] FE: +36 new (reported 400)
    [Male] FH: +55 new (reported 281)
    [Male] FI: +42 new (reported 403)
    [Male] FJ: +13 new (reported 16)
    [Male] FL: +67 new (reported 83)
    [Male] FM: +35 new (reported 33)
    [Male] FN: +49 new (reported 192)
    [Male] FO: +47 new (reported 424)
    [Male] FR: +46 new (reported 121)
    [Male] FS: +41 new (reported 34)
    [Male] FT: +14 new (reported 77)
    [Male] FU: +38 new (reported 301)
    [Male] FV: +3 new (reported 3)
    [Male] FX: +20 new (reported 16)
    [Male] FY: +1 new (reported 291)
    [Male] FZ: +2 new (reported 31)
    [Male] GA: +26 new (reported 599)
    [Male] GB: +19 new (reported 38)
    [Male] GC: +65 new (reported 86)
    [Male] GD: +8 new (reported 151)
    [Male] GE: +21 new (reported 693)
    [Male] GF: +3 new (reported 21)
    [Male] GH: +36 new (reported 565)
    [Male] GI: +30 new (reported 551)
    [Male] GK: +5 new (reported 88)
    [Male] GL: +56 new (reported 174)
    [Male] GM: +32 new (reported 60)
    [Male] GN: +55 new (reported 51)
    [Male] GO: +42 new (reported 442)
    [Male] GQ: +3 new (reported 82)
    [Male] GR: +45 new (reported 296)
    [Male] GS: +45 new (reported 67)
    [Male] GT: +27 new (reported 167)
    [Male] GU: +45 new (reported 446)
    [Male] GV: +1 new (reported 19)
    [Male] GW: +10 new (reported 293)
    [Male] GY: +28 new (reported 420)
    [Male] HA: +27 new (reported 1073)
    [Male] HB: +4 new (reported 89)
    [Male] HC: +42 new (reported 314)
    [Male] HD: +8 new (reported 250)
    [Male] HE: +23 new (reported 891)
    [Male] HF: +6 new (reported 289)
    [Male] HG: +2 new (reported 286)
    [Male] HI: +31 new (reported 626)
    [Male] HJ: +34 new (reported 143)
    [Male] HK: +7 new (reported 290)
    [Male] HL: +48 new (reported 494)
    [Male] HM: +52 new (reported 113)
    [Male] HN: +57 new (reported 128)
    [Male] HO: +47 new (reported 596)
    [Male] HR: +53 new (reported 126)
    [Male] HS: +12 new (reported 189)
    [Male] HT: +37 new (reported 317)
    [Male] HU: +41 new (reported 430)
    [Male] HV: +4 new (reported 283)
    [Male] HW: +18 new (reported 14)
    [Male] HY: +56 new (reported 359)
    [Male] HZ: +3 new (reported 180)
    [Male] IA: +27 new (reported 704)
    [Male] IB: +30 new (reported 139)
    [Male] IC: +17 new (reported 380)
    [Male] ID: +18 new (reported 307)
    [Male] IE: +11 new (reported 811)
    [Male] IF: +36 new (reported 114)
    [Male] IG: +10 new (reported 303)
    [Male] IH: +37 new (reported 545)
    [Male] IJ: +28 new (reported 49)
    [Male] IK: +41 new (reported 210)
    [Male] IL: +25 new (reported 723)
    [Male] IM: +36 new (reported 265)
    [Male] IN: +46 new (reported 2285)
    [Male] IO: +44 new (reported 607)
    [Male] IP: +65 new (reported 129)
    [Male] IQ: +7 new (reported 158)
    [Male] IR: +23 new (reported 241)
    [Male] IS: +13 new (reported 444)
    [Male] IT: +54 new (reported 423)
    [Male] IU: +60 new (reported 574)
    [Male] IV: +62 new (reported 98)
    [Male] IW: +22 new (reported 563)
    [Male] IX: +15 new (reported 21)
    [Male] IY: +39 new (reported 608)
    [Male] IZ: +38 new (reported 88)
    [Male] JA: +16 new (reported 730)
    [Male] JB: +12 new (reported 93)
    [Male] JC: +13 new (reported 155)
    [Male] JD: +35 new (reported 149)
    [Male] JE: +32 new (reported 646)
    [Male] JF: +29 new (reported 54)
    [Male] JH: +3 new (reported 579)
    [Male] JI: +15 new (reported 549)
    [Male] JL: +47 new (reported 287)
    [Male] JM: +48 new (reported 58)
    [Male] JN: +27 new (reported 1649)
    [Male] JO: +15 new (reported 671)
    [Male] JP: +1 new (reported 94)
    [Male] JR: +44 new (reported 45)
    [Male] JS: +15 new (reported 62)
    [Male] JU: +15 new (reported 583)
    [Male] KA: +17 new (reported 488)
    [Male] KD: +9 new (reported 149)
    [Male] KE: +12 new (reported 652)
    [Male] KG: +1 new (reported 84)
    [Male] KH: +23 new (reported 379)
    [Male] KI: +22 new (reported 553)
    [Male] KL: +41 new (reported 144)
    [Male] KM: +7 new (reported 61)
    [Male] KN: +30 new (reported 60)
    [Male] KO: +33 new (reported 412)
    [Male] KP: +3 new (reported 19)
    [Male] KR: +42 new (reported 196)
    [Male] KS: +53 new (reported 93)
    [Male] KT: +3 new (reported 149)
    [Male] KU: +34 new (reported 364)
    [Male] KW: +33 new (reported 303)
    [Male] KY: +29 new (reported 309)
    [Male] KZ: +18 new (reported 53)
    [Male] LA: +51 new (reported 1079)
    [Male] LB: +54 new (reported 49)
    [Male] LC: +35 new (reported 161)
    [Male] LD: +16 new (reported 199)
    [Male] LE: +64 new (reported 1005)
    [Male] LF: +50 new (reported 67)
    [Male] LG: +24 new (reported 153)
    [Male] LH: +27 new (reported 464)
    [Male] LI: +16 new (reported 945)
    [Male] LJ: +6 new (reported 14)
    [Male] LK: +55 new (reported 189)
    [Male] LM: +59 new (reported 240)
    [Male] LN: +37 new (reported 124)
    [Male] LO: +44 new (reported 703)
    [Male] LP: +34 new (reported 31)
    [Male] LQ: +21 new (reported 139)
    [Male] LR: +24 new (reported 25)
    [Male] LS: +45 new (reported 240)
    [Male] LT: +49 new (reported 120)
    [Male] LU: +28 new (reported 524)
    [Male] LV: +47 new (reported 113)
    [Male] LW: +16 new (reported 460)
    [Male] LX: +21 new (reported 26)
    [Male] LY: +39 new (reported 552)
    [Male] LZ: +45 new (reported 107)
    [Male] MA: +14 new (reported 747)
    [Male] MB: +44 new (reported 67)
    [Male] MC: +18 new (reported 332)
    Request failed: HTTPSConnectionPool(host='www.ahpra.gov.au', port=443): Max retries exceeded with url: /Registration/Registers-of-Practitioners.aspx (Caused by NameResolutionError("HTTPSConnection(host='www.ahpra.gov.au', port=443): Failed to resolve 'www.ahpra.gov.au' ([Errno 8] nodename nor servname provided, or not known)"))
    [Male] ME: +7 new (reported 302)
    [Male] MF: +7 new (reported 6)
    [Male] MG: +32 new (reported 62)
    [Male] MH: +36 new (reported 67)
    [Male] MI: +19 new (reported 324)
    [Male] MK: +3 new (reported 60)
    [Male] ML: +45 new (reported 34)
    [Male] MN: +48 new (reported 135)
    [Male] MO: +29 new (reported 322)
    [Male] MP: +35 new (reported 108)
    [Male] MQ: +2 new (reported 59)
    [Male] MR: +41 new (reported 123)
    [Male] MS: +52 new (reported 117)
    [Male] MT: +37 new (reported 91)
    [Male] MU: +6 new (reported 229)
    [Male] MW: +6 new (reported 63)
    [Male] MX: +9 new (reported 22)
    [Male] MY: +22 new (reported 75)
    [Male] MZ: +23 new (reported 24)
    [Male] NA: +3 new (reported 520)
    [Male] NB: +37 new (reported 47)
    [Male] NC: +13 new (reported 215)
    [Male] ND: +10 new (reported 389)
    [Male] NF: +16 new (reported 20)
    [Male] NG: +28 new (reported 815)
    [Male] NH: +24 new (reported 65)
    [Male] NI: +6 new (reported 287)
    [Male] NJ: +8 new (reported 17)
    [Male] NK: +26 new (reported 176)
    [Male] NL: +44 new (reported 149)
    [Male] NM: +38 new (reported 38)
    [Male] NO: +23 new (reported 214)
    [Male] NP: +1 new (reported 7)
    [Male] NQ: +35 new (reported 102)
    [Male] NR: +35 new (reported 37)
    [Male] NS: +11 new (reported 385)
    [Male] NT: +27 new (reported 241)
    [Male] NU: +35 new (reported 70)
    [Male] NV: +4 new (reported 9)
    [Male] NW: +22 new (reported 55)
    [Male] NY: +42 new (reported 92)
    [Male] NZ: +35 new (reported 36)
    [Male] OA: +18 new (reported 572)
    [Male] OB: +21 new (reported 242)
    [Male] OC: +18 new (reported 249)
    [Male] OD: +7 new (reported 354)
    [Male] OE: +26 new (reported 567)
    [Male] OF: +10 new (reported 84)
    [Male] OG: +36 new (reported 233)
    [Male] OH: +10 new (reported 681)
    [Male] OI: +30 new (reported 570)
    [Male] OJ: +7 new (reported 24)
    [Male] OK: +14 new (reported 247)
    [Male] OL: +6 new (reported 595)
    [Male] OM: +18 new (reported 201)
    [Male] ON: +22 new (reported 2436)
    [Male] OP: +39 new (reported 165)
    [Male] OQ: +3 new (reported 155)
    [Male] OR: +4 new (reported 546)
    [Male] OS: +11 new (reported 297)
    [Male] OT: +15 new (reported 278)
    [Male] OU: +8 new (reported 766)
    [Male] OV: +37 new (reported 115)
    [Male] OW: +15 new (reported 845)
    [Male] OX: +2 new (reported 40)
    [Male] OY: +29 new (reported 614)
    [Male] OZ: +16 new (reported 81)
    [Male] PA: +8 new (reported 349)
    [Male] PB: +24 new (reported 107)
    [Male] PD: +1 new (reported 54)
    [Male] PE: +16 new (reported 289)
    [Male] PH: +14 new (reported 367)
    [Male] PI: +15 new (reported 176)
    [Male] PJ: +2 new (reported 15)
    [Male] PK: +1 new (reported 48)
    [Male] PL: +33 new (reported 415)
    [Male] PM: +1 new (reported 7)
    [Male] PN: +1 new (reported 34)
    [Male] PO: +19 new (reported 175)
    [Male] PR: +23 new (reported 189)
    [Male] PS: +29 new (reported 232)
    [Male] PT: +19 new (reported 74)
    [Male] PU: +35 new (reported 113)
    [Male] PY: +3 new (reported 79)
    [Male] QA: +4 new (reported 290)
    [Male] QD: +3 new (reported 146)
    [Male] QI: +4 new (reported 281)
    [Male] QL: +39 new (reported 106)
    [Male] QM: +11 new (reported 53)
    [Male] QN: +9 new (reported 253)
    [Male] QR: +23 new (reported 143)
    [Male] QU: +24 new (reported 325)
    [Male] RA: +8 new (reported 802)
    [Male] RB: +43 new (reported 57)
    [Male] RC: +34 new (reported 88)
    [Male] RD: +6 new (reported 389)
    [Male] RE: +6 new (reported 532)
    [Male] RF: +31 new (reported 47)
    [Male] RG: +18 new (reported 137)
    [Male] RH: +31 new (reported 100)
    [Male] RJ: +15 new (reported 28)
    [Male] RK: +22 new (reported 150)
    [Male] RL: +45 new (reported 110)
    [Male] RM: +37 new (reported 128)
    [Male] RN: +9 new (reported 338)
    [Male] RO: +8 new (reported 558)
    [Male] RP: +34 new (reported 53)
    [Male] RQ: +20 new (reported 28)
    [Male] RS: +30 new (reported 361)
    [Male] RT: +5 new (reported 374)
    [Male] RU: +30 new (reported 233)
    [Male] RV: +18 new (reported 41)
    [Male] RW: +32 new (reported 116)
    [Male] RX: +16 new (reported 14)
    [Male] RY: +22 new (reported 251)
    [Male] RZ: +22 new (reported 150)
    [Male] SA: +7 new (reported 467)
    [Male] SB: +25 new (reported 33)
    [Male] SC: +13 new (reported 159)
    [Male] SD: +25 new (reported 120)
    [Male] SE: +6 new (reported 502)
    [Male] SF: +24 new (reported 77)
    [Male] SG: +13 new (reported 28)
    [Male] SH: +44 new (reported 597)
    [Male] SI: +3 new (reported 440)
    [Male] SJ: +6 new (reported 12)
    [Male] SK: +15 new (reported 131)
    [Male] SL: +33 new (reported 111)
    [Male] SM: +39 new (reported 199)
    [Male] SN: +59 new (reported 534)
    [Male] SO: +12 new (reported 712)
    [Male] SP: +30 new (reported 77)
    [Male] SR: +25 new (reported 37)
    [Male] ST: +10 new (reported 510)
    [Male] SU: +21 new (reported 265)
    [Male] SV: +2 new (reported 69)
    [Male] SW: +19 new (reported 492)
    [Male] SY: +24 new (reported 212)
    [Male] SZ: +15 new (reported 479)
    [Male] TA: +20 new (reported 610)
    [Male] TC: +39 new (reported 128)
    [Male] TD: +7 new (reported 241)
    [Male] TE: +11 new (reported 659)
    [Male] TF: +8 new (reported 44)
    [Male] TG: +2 new (reported 59)
    [Male] TH: +2 new (reported 583)
    [Male] TI: +8 new (reported 442)
    [Male] TJ: +2 new (reported 13)
    [Male] TK: +20 new (reported 77)
    [Male] TL: +42 new (reported 102)
    [Male] TM: +12 new (reported 55)
    [Male] TN: +45 new (reported 353)
    [Male] TO: +5 new (reported 564)
    [Male] TQ: +2 new (reported 58)
    [Male] TR: +7 new (reported 219)
    [Male] TS: +5 new (reported 179)
    [Male] TU: +16 new (reported 340)
    [Male] TW: +8 new (reported 255)
    [Male] TY: +17 new (reported 301)
    [Male] TZ: +31 new (reported 110)
    [Male] UA: +31 new (reported 579)
    [Male] UB: +35 new (reported 131)
    [Male] UC: +17 new (reported 226)
    [Male] UD: +8 new (reported 219)
    [Male] UE: +14 new (reported 600)
    [Male] UF: +6 new (reported 78)
    [Male] UG: +15 new (reported 249)
    [Male] UH: +12 new (reported 561)
    [Male] UI: +4 new (reported 620)
    [Male] UJ: +3 new (reported 21)
    [Male] UK: +23 new (reported 195)
    [Male] UL: +3 new (reported 426)
    [Male] UM: +11 new (reported 136)
    [Male] UN: +22 new (reported 1813)
    [Male] UO: +12 new (reported 552)
    [Male] UP: +21 new (reported 128)
    [Male] UQ: +2 new (reported 156)
    [Male] US: +3 new (reported 239)
    [Male] UT: +4 new (reported 265)
    [Male] UV: +1 new (reported 55)
    [Male] UW: +8 new (reported 564)
    [Male] UX: +3 new (reported 18)
    [Male] UY: +27 new (reported 627)
    [Male] UZ: +16 new (reported 81)
    [Male] VA: +1 new (reported 508)
    [Male] VE: +1 new (reported 469)
    [Male] VF: +3 new (reported 4)
    [Male] VI: +3 new (reported 407)
    [Male] VL: +22 new (reported 40)
    [Male] VO: +15 new (reported 306)
    [Male] VR: +20 new (reported 40)
    [Male] VU: +1 new (reported 272)
    [Male] VZ: +2 new (reported 31)
    [Male] WA: +11 new (reported 993)
    [Male] WB: +11 new (reported 85)
    [Male] WC: +1 new (reported 289)
    [Male] WD: +22 new (reported 264)
    [Male] WE: +6 new (reported 756)
    [Male] WF: +4 new (reported 290)
    [Male] WG: +1 new (reported 285)
    [Male] WH: +13 new (reported 599)
    [Male] WK: +6 new (reported 291)
    [Male] WL: +42 new (reported 496)
    [Male] WM: +15 new (reported 67)
    [Male] WN: +54 new (reported 93)
    [Male] WO: +36 new (reported 803)
    [Male] WR: +16 new (reported 123)
    [Male] WS: +38 new (reported 237)
    [Male] WT: +13 new (reported 253)
    [Male] WU: +3 new (reported 601)
    [Male] WY: +5 new (reported 642)
    [Male] XD: +7 new (reported 113)
    [Male] XI: +9 new (reported 167)
    [Male] XL: +28 new (reported 42)
    [Male] XM: +25 new (reported 69)
    [Male] XN: +10 new (reported 185)
    [Male] XR: +1 new (reported 23)
    [Male] XS: +2 new (reported 11)
    [Male] XU: +2 new (reported 164)
    [Male] XV: +1 new (reported 68)
    [Male] YA: +4 new (reported 741)
    [Male] YB: +1 new (reported 90)
    [Male] YD: +19 new (reported 178)
    [Male] YE: +2 new (reported 662)
    [Male] YI: +14 new (reported 509)
    [Male] YL: +46 new (reported 331)
    [Male] YM: +7 new (reported 75)
    [Male] YN: +20 new (reported 1629)
    [Male] YO: +26 new (reported 585)
    [Male] YR: +5 new (reported 67)
    [Male] YS: +13 new (reported 80)
    [Male] YT: +11 new (reported 164)
    [Male] YV: +2 new (reported 50)
    [Male] YW: +6 new (reported 553)
    [Male] YZ: +2 new (reported 61)
    [Male] ZA: +6 new (reported 276)
    [Male] ZB: +2 new (reported 21)
    [Male] ZE: +4 new (reported 229)
    [Male] ZG: +1 new (reported 40)
    [Male] ZH: +20 new (reported 139)
    [Male] ZI: +7 new (reported 225)
    [Male] ZL: +1 new (reported 42)
    [Male] ZO: +3 new (reported 204)
    [Male] ZP: +2 new (reported 18)
    [Male] ZU: +2 new (reported 186)
    [Male] ZW: +2 new (reported 180)

--- VIC | Female ---
    [Female] AB: +68 new (reported 182)
    [Female] AC: +73 new (reported 230)
    [Female] AD: +78 new (reported 321)
    [Female] AE: +81 new (reported 634)
    [Female] AF: +73 new (reported 102)
    [Female] AG: +58 new (reported 260)
    [Female] AH: +67 new (reported 748)
    [Female] AI: +81 new (reported 732)
    [Female] AJ: +70 new (reported 72)
    [Female] AK: +69 new (reported 262)
    [Female] AL: +71 new (reported 786)
    [Female] AM: +63 new (reported 687)
    [Female] AN: +74 new (reported 1285)
    [Female] AO: +54 new (reported 624)
    [Female] AP: +73 new (reported 148)
    [Female] AQ: +69 new (reported 44)
    [Female] AR: +60 new (reported 915)
    [Female] AS: +49 new (reported 453)
    [Female] AT: +55 new (reported 567)
    [Female] AU: +75 new (reported 711)
    [Female] AV: +74 new (reported 186)
    [Female] AW: +63 new (reported 847)
    [Female] AX: +43 new (reported 28)
    [Female] AY: +52 new (reported 895)
    [Female] AZ: +62 new (reported 109)
    [Female] BA: +30 new (reported 389)
    [Female] BC: +76 new (reported 64)
    [Female] BD: +72 new (reported 73)
    [Female] BE: +49 new (reported 376)
    [Female] BF: +2 new (reported 3)
    [Female] BH: +57 new (reported 136)
    [Female] BI: +62 new (reported 223)
    [Female] BJ: +12 new (reported 28)
    [Female] BL: +63 new (reported 126)
    [Female] BM: +13 new (reported 11)
    [Female] BN: +69 new (reported 69)
    [Female] BO: +50 new (reported 259)
    [Female] BP: +26 new (reported 18)
    [Female] BR: +64 new (reported 279)
    [Female] BS: +49 new (reported 35)
    [Female] BT: +13 new (reported 63)
    [Female] BU: +58 new (reported 231)
    [Female] BW: +32 new (reported 109)
    [Female] BX: +6 new (reported 4)
    [Female] BY: +38 new (reported 134)
    [Female] CA: +44 new (reported 450)
    [Female] CB: +22 new (reported 17)
    [Female] CD: +58 new (reported 320)
    [Female] CE: +66 new (reported 382)
    [Female] CF: +22 new (reported 19)
    [Female] CG: +64 new (reported 281)
    [Female] CH: +59 new (reported 847)
    [Female] CI: +72 new (reported 344)
    [Female] CJ: +5 new (reported 5)
    [Female] CK: +51 new (reported 517)
    [Female] CL: +73 new (reported 302)
    [Female] CM: +66 new (reported 97)
    [Female] CN: +68 new (reported 191)
    [Female] CO: +48 new (reported 586)
    [Female] CP: +2 new (reported 13)
    [Female] CQ: +37 new (reported 253)
    [Female] CR: +69 new (reported 250)
    [Female] CS: +33 new (reported 34)
    [Female] CT: +33 new (reported 289)
    [Female] CU: +69 new (reported 317)
    [Female] CV: +5 new (reported 17)
    [Female] CW: +8 new (reported 249)
    [Female] CX: +15 new (reported 16)
    [Female] CY: +66 new (reported 296)
    [Female] CZ: +70 new (reported 516)
    [Female] DA: +35 new (reported 558)
    [Female] DB: +32 new (reported 21)
    [Female] DC: +35 new (reported 28)
    [Female] DE: +64 new (reported 604)
    [Female] DF: +70 new (reported 58)
    [Female] DG: +59 new (reported 67)
    [Female] DH: +66 new (reported 324)
    [Female] DI: +37 new (reported 453)
    [Female] DJ: +5 new (reported 10)
    [Female] DK: +5 new (reported 32)
    [Female] DL: +63 new (reported 115)
    [Female] DM: +71 new (reported 56)
    [Female] DN: +54 new (reported 351)
    [Female] DO: +44 new (reported 529)
    [Female] DQ: +2 new (reported 26)
    [Female] DR: +58 new (reported 170)
    [Female] DS: +65 new (reported 180)
    [Female] DT: +61 new (reported 295)
    [Female] DU: +51 new (reported 351)
    [Female] DV: +8 new (reported 43)
    [Female] DW: +43 new (reported 309)
    [Female] DX: +11 new (reported 5)
    [Female] DY: +63 new (reported 341)
    [Female] DZ: +66 new (reported 92)
    [Female] EA: +21 new (reported 810)
    [Female] EB: +40 new (reported 91)
    [Female] EC: +43 new (reported 81)
    [Female] ED: +27 new (reported 293)
    [Female] EF: +46 new (reported 105)
    [Female] EG: +52 new (reported 107)
    [Female] EH: +69 new (reported 653)
    [Female] EI: +50 new (reported 676)
    [Female] EJ: +17 new (reported 21)
    [Female] EK: +42 new (reported 133)
    [Female] EL: +34 new (reported 683)
    [Female] EM: +50 new (reported 254)
    [Female] EN: +68 new (reported 2277)
    [Female] EO: +64 new (reported 670)
    [Female] EP: +39 new (reported 102)
    [Female] ER: +33 new (reported 1201)
    [Female] ES: +35 new (reported 443)
    [Female] ET: +42 new (reported 347)
    [Female] EU: +56 new (reported 642)
    [Female] EV: +52 new (reported 142)
    [Female] EW: +48 new (reported 830)
    [Female] EX: +27 new (reported 22)
    [Female] EY: +34 new (reported 924)
    [Female] EZ: +49 new (reported 114)
    [Female] FA: +52 new (reported 262)
    [Female] FB: +24 new (reported 30)
    [Female] FC: +23 new (reported 25)
    [Female] FD: +44 new (reported 64)
    [Female] FE: +33 new (reported 356)
    [Female] FG: +3 new (reported 26)
    [Female] FH: +38 new (reported 232)
    [Female] FI: +45 new (reported 338)
    [Female] FJ: +1 new (reported 3)
    [Female] FL: +48 new (reported 74)
    [Female] FM: +24 new (reported 20)
    [Female] FN: +42 new (reported 253)
    [Female] FO: +40 new (reported 341)
    [Female] FR: +29 new (reported 113)
    [Female] FS: +22 new (reported 25)
    [Female] FT: +7 new (reported 77)
    [Female] FU: +22 new (reported 242)
    [Female] FV: +1 new (reported 2)
    [Female] FX: +12 new (reported 13)
    [Female] GA: +17 new (reported 511)
    [Female] GB: +3 new (reported 17)
    [Female] GC: +46 new (reported 50)
    [Female] GD: +5 new (reported 290)
    [Female] GE: +11 new (reported 723)
    [Female] GF: +4 new (reported 18)
    [Female] GH: +28 new (reported 480)
    [Female] GI: +41 new (reported 555)
    [Female] GJ: +2 new (reported 6)
    [Female] GL: +54 new (reported 249)
    [Female] GM: +13 new (reported 91)
    [Female] GN: +61 new (reported 51)
    [Female] GO: +33 new (reported 396)
    [Female] GP: +1 new (reported 11)
    [Female] GR: +32 new (reported 334)
    [Female] GS: +36 new (reported 66)
    [Female] GT: +32 new (reported 312)
    [Female] GU: +29 new (reported 402)
    [Female] GV: +1 new (reported 14)
    [Female] GW: +14 new (reported 256)
    [Female] GY: +24 new (reported 455)
    [Female] HA: +20 new (reported 867)
    [Female] HB: +5 new (reported 117)
    [Female] HC: +37 new (reported 286)
    [Female] HD: +11 new (reported 290)
    [Female] HE: +23 new (reported 669)
    [Female] HF: +6 new (reported 238)
    [Female] HG: +3 new (reported 250)
    [Female] HI: +25 new (reported 514)
    [Female] HJ: +27 new (reported 218)
    [Female] HK: +8 new (reported 252)
    [Female] HL: +56 new (reported 592)
    [Female] HM: +36 new (reported 333)
    [Female] HN: +56 new (reported 141)
    [Female] HO: +42 new (reported 526)
    [Female] HP: +1 new (reported 110)
    [Female] HQ: +1 new (reported 248)
    [Female] HR: +49 new (reported 92)
    [Female] HS: +13 new (reported 293)
    [Female] HT: +45 new (reported 343)
    [Female] HU: +33 new (reported 322)
    [Female] HW: +13 new (reported 16)
    [Female] HY: +65 new (reported 241)
    [Female] HZ: +12 new (reported 289)
    [Female] IA: +28 new (reported 681)
    [Female] IB: +26 new (reported 107)
    [Female] IC: +13 new (reported 238)
    [Female] ID: +14 new (reported 312)
    [Female] IE: +8 new (reported 781)
    [Female] IF: +26 new (reported 96)
    [Female] IG: +11 new (reported 223)
    [Female] IH: +32 new (reported 620)
    [Female] IJ: +44 new (reported 50)
    [Female] IK: +41 new (reported 93)
    [Female] IL: +27 new (reported 710)
    [Female] IM: +41 new (reported 497)
    [Female] IN: +38 new (reported 2220)
    [Female] IO: +48 new (reported 677)
    [Female] IP: +46 new (reported 121)
    [Female] IQ: +1 new (reported 42)
    [Female] IR: +10 new (reported 221)
    [Female] IS: +18 new (reported 368)
    [Female] IT: +40 new (reported 428)
    [Female] IU: +28 new (reported 633)
    [Female] IV: +44 new (reported 118)
    [Female] IW: +18 new (reported 678)
    [Female] IX: +23 new (reported 20)
